quotient,text,opt_a_text,opt_a_scores,opt_b_text,opt_b_scores,opt_c_text,opt_c_scores,opt_d_text,opt_d_scores,is_blended
CsQ,"You have held a belief about a colleague for three years. A trusted friend presents evidence that directly contradicts it. What is your first response?","Defend the original belief - one counter-example does not overturn years of experience.","{""CsQ"":0}","Ignore the evidence for now and return to it when you have more time.","{""CsQ"":1}","Investigate further before changing your position - but remain genuinely open.","{""CsQ"":3}","Accept the new evidence immediately and update your view.","{""CsQ"":2}",false
CsQ,"You realise midway through a project that your initial assumptions were wrong. What do you do?","Continue as planned - changing direction now would waste effort already invested.","{""CsQ"":0}","Make small adjustments but avoid publicly acknowledging the error.","{""CsQ"":1}","Pause the project, communicate the error clearly, and recalibrate.","{""CsQ"":3}","Quietly fix what you can without drawing attention to the mistake.","{""CsQ"":1}",false
RQ,"A problem affects your family but it is not technically your fault. What is your response?","Wait for the responsible party to address it.","{""RQ"":0}","Complain about the situation to others.","{""RQ"":0}","Ask what role you could play in solving it, even if it was not your fault.","{""RQ"":3}","Distance yourself to avoid being seen as responsible.","{""RQ"":0}",false
RQ,"A colleague fails to complete a task that was part of a shared project you are leading. What do you do?","Report the failure to management immediately.","{""RQ"":1}","Take ownership of the gap and address it while finding out what happened.","{""RQ"":3}","Leave it - it was their responsibility, not yours.","{""RQ"":0}","Ask the colleague to explain themselves publicly.","{""RQ"":1}",false
IQ,"Two people witness the same event and reach completely different conclusions. What is the most likely explanation?","One of them must be lying.","{""IQ"":0}","Memory is selective and interpretation shapes what we retain.","{""IQ"":3}","Facts are subjective - there is no objective truth.","{""IQ"":1}","One of them is simply more intelligent.","{""IQ"":0}",false
IQ,"A manager consistently assigns the most complex tasks to one employee without explanation. What is the most useful interpretation?","The employee is being overloaded unfairly.","{""IQ"":1}","The manager trusts the employee more than the others.","{""IQ"":2}","The situation requires more context before reaching any conclusion.","{""IQ"":3}","The other employees should complain.","{""IQ"":0}",false
PQ,"A person works very hard for 20 years but remains frustrated with their outcomes. Which question is most useful to ask first?","How hard are they working?","{""PQ"":1}","Are they lucky enough?","{""PQ"":0}","Is their effort aligned with a clear sense of direction?","{""PQ"":3}","Who is blocking them?","{""PQ"":0}",false
PQ,"You are offered a promotion that pays significantly more but takes you away from work you find meaningful. What guides your decision?","The salary - financial security enables everything else.","{""PQ"":1}","A clear sense of what you are trying to build over the next ten years.","{""PQ"":3}","What your peers would think is the smart choice.","{""PQ"":0}","How difficult it would be to return to your current role if needed.","{""PQ"":1}",false
FQ,"A company has been successful for 15 years and suddenly begins losing market share. What is the most likely explanation?","Bad luck.","{""FQ"":0}","The environment changed but the company did not recalibrate in time.","{""FQ"":3}","The competitors are cheating.","{""FQ"":0}","Management became complacent.","{""FQ"":2}",false
FQ,"You notice that a successful person seems to do less in certain periods but achieve more. What does this suggest?","They are not being honest about how hard they work.","{""FQ"":0}","They have learned to read timing and context, not just effort.","{""FQ"":3}","They have connections others do not have.","{""FQ"":1}","Their industry is easier than yours.","{""FQ"":0}",false
CvQ,"A city cuts funding for sanitation services to reduce costs. What is the most likely long-term consequence?","No major impact - people will adapt.","{""CvQ"":0}","Improved efficiency as the private sector fills the gap.","{""CvQ"":1}","Hidden societal costs will emerge over time - disease, inequality, civic breakdown.","{""CvQ"":3}","Greater motivation for citizens to take personal responsibility.","{""CvQ"":1}",false
CvQ,"A university loses its Vice Chancellor for one week. A university loses all its janitors for one week. Which creates the larger immediate operational crisis?","The Vice Chancellor - leadership is irreplaceable.","{""CvQ"":0}","The janitors - without functioning facilities, daily operations collapse.","{""CvQ"":3}","Equal - both are critical at different levels.","{""CvQ"":2}","Impossible to know without more context.","{""CvQ"":1}",false
NQ,"Two departments in an organisation have competing priorities and are in conflict. What is the most effective first step?","Escalate to senior management to decide.","{""NQ"":1}","Let the stronger department prevail.","{""NQ"":0}","Create a shared space to identify what both departments actually need, not just what they want.","{""NQ"":3}","Document the conflict formally to protect your position.","{""NQ"":1}",false
NQ,"You disagree strongly with a decision made by your team. What do you do?","Accept the decision without comment - it is not your call.","{""NQ"":1}","Object loudly until the team changes course.","{""NQ"":0}","Express your disagreement clearly, explain your reasoning, then commit to the collective decision if it stands.","{""NQ"":3}","Quietly undermine the decision by not fully implementing it.","{""NQ"":0}",false
TQ,"A company identifies digital photography before everyone else but continues investing primarily in film. What is the core problem?","Lack of knowledge about the new technology.","{""TQ"":1}","Bad luck in the timing of the market shift.","{""TQ"":0}","Poor placement of responsibility - the knowledge existed but the structure resisted change.","{""TQ"":2,""RQ"":1}","The new technology was not yet reliable enough.","{""TQ"":0}",true
TQ,"A colleague resists adopting a new digital tool that would save significant time. What is the most useful interpretation?","They are not intelligent enough to learn new tools.","{""TQ"":0}","The tool may not have been introduced in a way that made its value clear.","{""TQ"":2}","They are afraid of change - a character flaw.","{""TQ"":0}","Their resistance may reflect a deeper placement issue - wrong role, wrong context, wrong timing.","{""TQ"":2,""CsQ"":1}",true
